"","mean","var"
"X.3",17348.9533644237,11602.6886432433
"FTHG",1.48724183877415,1.2590207318043
"FTAG",1.16572285143238,1.12469988244921
"HTHG",NA,NA
"HTAG",NA,NA
"HS",12.9758827448368,5.01039440269899
"AS",10.5695536309127,4.39546997505736
"HST",5.02754830113258,2.68073172489606
"AST",4.08997335109927,2.38947344196313
"HF",NA,NA
"AF",NA,NA
"HC",5.78517654896736,2.9545769160969
"AC",4.681745502998,2.61807285823824
"HY",NA,NA
"AY",1.94160559626915,1.33769248593375
"HR",0.0862758161225849,0.298599596091799
"AR",0.118087941372418,0.347279272481863
"B365H",NA,NA
"B365D",NA,NA
"B365A",NA,NA
"BWH",NA,NA
"BWD",NA,NA
"BWA",NA,NA
"GBH",NA,NA
"GBD",NA,NA
"GBA",NA,NA
"IWH",NA,NA
"IWD",NA,NA
"IWA",NA,NA
"LBH",NA,NA
"LBD",NA,NA
"LBA",NA,NA
"SBH",NA,NA
"SBD",NA,NA
"SBA",NA,NA
"WHH",NA,NA
"WHD",NA,NA
"WHA",NA,NA
"SJH",NA,NA
"SJD",NA,NA
"SJA",NA,NA
"VCH",NA,NA
"VCD",NA,NA
"VCA",NA,NA
"BSH",NA,NA
"BSD",NA,NA
"BSA",NA,NA
"Bb1X2",41.1327115256496,5.9364346578546
"BbMxH",2.7135726182545,1.82973051363121
"BbAvH",2.52777181878748,1.49827902048225
"BbMxD",3.93610393071286,1.31689107972192
"BbAvD",3.65176115922718,0.981852024712167
"BbMxA",4.64005996002665,4.31384224494707
"BbAvA",4.10032111925383,3.11337151302264
"BbOU",35.9350099933378,6.11249625738827
"BbMx.2.5",2.03879890073284,0.271683035613118
"BbAv.2.5",1.94228094603598,0.246437948167991
"BbMx.2.5.1",1.99633477681546,0.387866843234439
"BbAv.2.5.1",1.89712491672219,0.338640501671228
"BbAH",NA,NA
"BbAHh",NA,NA
"BbMxAHH",NA,NA
"BbAvAHH",NA,NA
"BbMxAHA",NA,NA
"BbAvAHA",NA,NA
"PSH",NA,NA
"PSD",NA,NA
"PSA",NA,NA
"PSCH",NA,NA
"PSCD",NA,NA
"PSCA",NA,NA
"HFKC",NA,NA
"AFKC",NA,NA
